dataset_id,table_id
audience,apple_devices_xwalk
audience,ios_bundle_directory_ids_crosswalk
audience,recent_usage_data20190501
audience,recent_usage_data20190502
audience,recent_usage_data20190503
audience,recent_usage_data20190504
audience,recent_usage_data20190505
audience,recent_usage_data20190506
audience,recent_usage_data20190507
audience,recent_usage_data20190508
audience,recent_usage_data20190509
audience,recent_usage_data20190510
audience,recent_usage_data20190511
audience,recent_usage_data20190512
audience,recent_usage_data20190513
audience,recent_usage_data20190514
audience,recent_usage_data20190515
audience,recent_usage_data20190516
audience,recent_usage_data20190517
audience,recent_usage_data20190518
audience,recent_usage_data20190519
audience,recent_usage_data20190520
audience,recent_usage_data20190521
audience,recent_usage_data20190522
audience,recent_usage_data20190523
audience,recent_usage_data20190524
audience,recent_usage_data20190525
audience,recent_usage_data20190526
audience,recent_usage_data20190527
audience,recent_usage_data20190528
audience,recent_usage_data20190529
audience,recent_usage_data20190530
audience,recent_usage_data20190601
audience,recent_usage_data20190614
audience,recent_usage_data20190622
audience,recent_usage_data20190625
audience,recent_usage_data20190628
audience,recent_usage_data20190701
audience,recent_usage_data20190704
audience,recent_usage_data20190705
audience,recent_usage_data20190707
audience,recent_usage_data20190713
audience,recent_usage_data20190719
audience,recent_usage_data20190726
audience,recent_usage_data20190730
audience,recent_usage_data20190801
audience,recent_usage_data20190804
audience,recent_usage_data20190805
audience,recent_usage_data20190810
audience,recent_usage_data20190813
audience,recent_usage_data20190816
audience,recent_usage_data20190819
audience,recent_usage_data20190825
audience,recent_usage_data20190828
audience,recent_usage_data20190829
audience,recent_usage_data20190901
audience,recent_usage_data20190904
audience,recent_usage_data20190907
audience,recent_usage_data20190909
audience,recent_usage_data20190910
audience,recent_usage_data20190919
audience,recent_usage_data20190922
audience,recent_usage_data20190925
audience,recent_usage_data20190928
audience,recent_usage_data20191001
audience,recent_usage_data20191004
audience,recent_usage_data20191013
audience,recent_usage_data20191016
audience,recent_usage_data20191019
audience,recent_usage_data20191022
audience,recent_usage_data20191025
audience,recent_usage_data20191028
audience,recent_usage_data20191029
audience,recent_usage_data20191101
audience,recent_usage_data20191104
audience,recent_usage_data20191122
audience,recent_usage_data20191125
audience,recent_usage_data20191128
audience,recent_usage_data20191201
audience,recent_usage_data20191204
audience,recent_usage_data20191207
audience,recent_usage_data20191210
audience,recent_usage_data20191213
audience,recent_usage_data20191216
audience,recent_usage_data20191219
audience,recent_usage_data20191222
audience,recent_usage_data20191228
audience,recent_usage_data20191229
audience,user_locations20190530
audience,user_locations20190601
audience,user_locations20190614
audience,user_locations20190622
audience,user_locations20190625
audience,user_locations20190628
audience,user_locations20190701
audience,user_locations20190704
audience,user_locations20190705
audience,user_locations20190707
audience,user_locations20190713
audience,user_locations20190719
audience,user_locations20190726
audience,user_locations20190730
audience,user_locations20190801
audience,user_locations20190804
audience,user_locations20190805
audience,user_locations20190810
audience,user_locations20190813
audience,user_locations20190816
audience,user_locations20190819
audience,user_locations20190825
audience,user_locations20190828
audience,user_locations20190829
audience,user_locations20190901
audience,user_locations20190904
audience,user_locations20190907
audience,user_locations20190909
audience,user_locations20190910
audience,user_locations20190919
audience,user_locations20190922
audience,user_locations20190925
audience,user_locations20190928
audience,user_locations20191001
audience,user_locations20191004
audience,user_locations20191013
audience,user_locations20191016
audience,user_locations20191019
audience,user_locations20191022
audience,user_locations20191025
audience,user_locations20191028
audience,user_locations20191029
audience,user_locations20191101
audience,user_locations20191104
audience,user_locations20191122
audience,user_locations20191125
audience,user_locations20191128
audience,user_locations20191201
audience,user_locations20191204
audience,user_locations20191207
audience,user_locations20191210
audience,user_locations20191213
audience,user_locations20191216
audience,user_locations20191219
audience,user_locations20191222
audience,user_locations20191228
audience,user_locations20191229
