dataset_id,table_id
connexity,gp_daily20170620
connexity,gp_daily20170621
connexity,gp_daily20170622
connexity,gp_daily20170623
connexity,gp_daily20170624
connexity,gp_daily20170625
connexity,gp_daily20170626
connexity,gp_daily20170627
connexity,gp_daily20170628
connexity,gp_daily20170629
connexity,gp_daily20170630
connexity,gp_daily20170701
connexity,gp_daily20170702
connexity,gp_daily20170703
connexity,gp_daily20170704
connexity,gp_daily20170705
connexity,gp_daily20170706
connexity,gp_daily20170707
connexity,gp_daily20170708
connexity,gp_daily20170709
connexity,gp_daily20170710
connexity,gp_daily20170711
connexity,gp_daily20170712
connexity,gp_daily20170713
connexity,gp_daily20170714
connexity,gp_daily20170715
connexity,gp_daily20170716
connexity,gp_daily20170717
connexity,gp_daily20170718
connexity,gp_daily20170719
connexity,gp_daily20170720
connexity,gp_daily20170721
connexity,gp_daily20170722
connexity,gp_daily20170723
connexity,gp_daily20170724
connexity,gp_daily20170725
connexity,gp_daily20170726
connexity,gp_daily20170727
connexity,gp_daily20170728
connexity,gp_daily20170729
connexity,gp_daily20170730
connexity,gp_daily20170731
connexity,gp_daily20170801
connexity,gp_daily20170802
connexity,gp_daily20170803
connexity,gp_daily20170804
connexity,gp_daily20170805
connexity,gp_daily20170806
connexity,gp_daily20170807
connexity,gp_daily20170808
connexity,gp_daily20170809
connexity,gp_daily20170810
connexity,gp_daily20170811
connexity,gp_daily20170812
connexity,gp_daily20170813
connexity,gp_daily20170814
connexity,gp_daily20170815
connexity,gp_daily20170816
connexity,gp_daily20170817
connexity,gp_daily20170818
connexity,gp_daily20170819
connexity,gp_daily20170820
connexity,gp_daily20170821
connexity,gp_daily20170822
connexity,gp_daily20170823
connexity,gp_daily20170824
connexity,gp_daily20170825
connexity,gp_daily20170826
connexity,gp_daily20170827
connexity,gp_daily20170828
connexity,gp_daily20170829
connexity,gp_daily20170830
connexity,gp_daily20170831
connexity,gp_daily20170901
connexity,gp_daily20170902
connexity,gp_daily20170903
connexity,gp_daily20170904
connexity,gp_daily20170905
connexity,gp_daily20170906
connexity,gp_daily20170907
connexity,gp_daily20170908
connexity,gp_daily20170909
connexity,gp_daily20170910
connexity,gp_daily20170911
connexity,gp_daily20170912
connexity,gp_daily20170913
connexity,gp_daily20170914
connexity,gp_daily20170915
connexity,gp_daily20170916
connexity,gp_daily20170917
connexity,gp_daily20170918
connexity,gp_daily20170919
connexity,gp_daily20170920
connexity,gp_daily20170921
connexity,gp_daily20170922
connexity,gp_daily20170923
connexity,gp_daily20170924
connexity,gp_daily20170925
connexity,gp_daily20170926
connexity,gp_daily20170927
connexity,gp_daily20170928
connexity,gp_daily20170929
connexity,gp_daily20170930
connexity,gp_daily20171001
connexity,gp_daily20171002
connexity,gp_daily20171003
connexity,gp_daily20171004
connexity,gp_daily20171005
connexity,gp_daily20171006
connexity,gp_daily20171007
connexity,gp_daily20171008
connexity,gp_daily20171009
connexity,gp_daily20171010
connexity,gp_daily20171011
connexity,gp_daily20171012
connexity,gp_daily20171013
connexity,gp_daily20171014
connexity,gp_daily20171015
connexity,gp_daily20171016
connexity,gp_daily20171017
connexity,gp_daily20171018
connexity,gp_daily20171019
connexity,gp_daily20171020
connexity,gp_daily20171021
connexity,gp_daily20171022
connexity,gp_daily20171023
connexity,gp_daily20171024
connexity,gp_daily20171025
connexity,gp_daily20171026
connexity,gp_daily20171027
connexity,gp_daily20171028
connexity,gp_daily20171029
connexity,gp_daily20171030
connexity,gp_daily20171031
connexity,gp_daily20171101
connexity,gp_daily20171102
connexity,gp_daily20171103
connexity,gp_daily20171104
connexity,gp_daily20171105
connexity,gp_daily20171106
connexity,gp_daily20171107
connexity,gp_daily20171108
connexity,gp_daily20171109
connexity,gp_daily20171110
connexity,gp_daily20171111
connexity,gp_daily20171112
connexity,gp_daily20171113
connexity,gp_daily20171114
connexity,gp_daily20171115
connexity,gp_daily20171116
connexity,gp_daily20171117
connexity,gp_daily20171118
connexity,gp_daily20171119
connexity,gp_daily20171120
connexity,gp_daily20171121
connexity,gp_daily20171122
connexity,gp_daily20171123
connexity,gp_daily20171124
connexity,gp_daily20171125
connexity,gp_daily20171126
connexity,gp_daily20171127
connexity,gp_daily20171128
connexity,gp_daily20171129
connexity,gp_daily20171130
connexity,gp_daily20171201
connexity,gp_daily20171202
connexity,gp_daily20171203
connexity,gp_daily20171204
