dataset_id,table_id
dealroom,backup_dealroom_publishers_new
dealroom,backup_refactored_delivery_new
dealroom,dealroom_blacklist_companies
dealroom,dealroom_categories
dealroom,dealroom_idmatch
dealroom,dealroom_pub_down_matches20181204
dealroom,dealroom_publishers
dealroom,dealroom_publishers_new
dealroom,delivery_dealroom_201904
dealroom,estimates_gp
dealroom,estimates_gp_new
dealroom,estimates_ios
dealroom,estimates_ios_new
dealroom,joined_app_override
dealroom,joined_publishers
dealroom,joined_publishers20181204
dealroom,joined_publishers_new
dealroom,joined_publishers_override
dealroom,priori_apps_new
dealroom,priori_publisher_201904
dealroom,priori_publishers
dealroom,priori_publishers20181204
dealroom,priori_publishers_new
dealroom,publisher_downloads20181204
dealroom,raw_data_from_dealroom_jan2019
dealroom,raw_data_from_dealroom_mar2018
dealroom,rawdata_dealroom_201902
dealroom,refactored_delivery
dealroom,refactored_delivery_032019
dealroom,refactored_delivery_new
dealroom,refactored_delivery_new201902
dealroom,top_2000
