dataset_id,table_id
monkey,2_ret_base
monkey,2_ret_cat_effects
monkey,2_ret_cat_season_effects
monkey,2_ret_gaming_subcat_effects
monkey,Apr2015_smoothed
monkey,BR_IN_upper_bound
monkey,ap_pp_params
monkey,ap_pp_pred_dl
monkey,braw_downloads_knn20200915
monkey,cat_retention
monkey,category_retention
monkey,daily_dl_params
monkey,daily_downloads_ranked
monkey,daily_downloads_unranked
monkey,day1_base_gp
monkey,day1_base_ios
monkey,day1_base_itunes_ios
monkey,day1_cat_gp
monkey,day1_cat_rank_gp
monkey,day1_cat_rank_ios
monkey,day1_cat_season_gp
monkey,day1_cat_season_ios
monkey,day1_country_itunes_ios
monkey,day1_country_rank_itunes_ios
monkey,day1_region_gp
monkey,day1_region_ios
monkey,day1_region_itunes_ios
monkey,day1_region_sp_gp
monkey,day1_region_sp_ios
monkey,day1_season_region_itunes_ios
monkey,drop_ids
monkey,gamma_bands
monkey,gp_active_devices_params20170315
monkey,gp_active_devices_params20170415
monkey,gp_active_devices_params20170515
monkey,gp_active_devices_params20170615
monkey,gp_active_devices_params20170715
monkey,gp_active_devices_params20170815
monkey,gp_active_devices_params20170915
monkey,gp_active_devices_params20171015
monkey,gp_active_devices_params20171115
monkey,gp_active_devices_params20171215
monkey,gp_active_devices_params20180115
monkey,gp_active_devices_params20180215
monkey,gp_active_devices_params20180315
monkey,gp_active_devices_params20180415
monkey,gp_active_devices_params20180515
monkey,gp_active_devices_params20180615
monkey,gp_active_devices_params20180715
monkey,gp_active_devices_params20180815
monkey,gp_active_devices_params20180915
monkey,gp_active_devices_params20181015
monkey,gp_active_devices_params20181115
monkey,gp_active_devices_params20181215
monkey,gp_active_devices_params20190115
monkey,gp_active_devices_params20190215
monkey,gp_active_devices_params20190315
monkey,gp_active_devices_params20190415
monkey,gp_active_devices_params20190515
monkey,gp_active_devices_params20190615
monkey,gp_active_devices_params20190715
monkey,gp_active_devices_params20190815
monkey,gp_active_devices_params20190915
monkey,gp_active_devices_params20191015
monkey,gp_active_devices_params20191115
monkey,gp_active_devices_params20191215
monkey,gp_active_devices_params20200115
monkey,gp_active_devices_params20200215
monkey,gp_active_devices_params20200315
monkey,gp_active_devices_params20200415
monkey,gp_active_devices_params20200515
monkey,gp_active_devices_params20200615
monkey,gp_active_devices_params20200715
monkey,gp_active_devices_params20200815
monkey,gp_active_devices_params20200915
monkey,gp_active_devices_params20201015
