dataset_id,table_id
usage_api,events_20170103
usage_api,events_20170104
usage_api,events_development_20170104
usage_api,events_development_20170105
usage_api,events_development_20170106
usage_api,events_development_20170108
usage_api,events_staging_20170106
usage_api,events_staging_20170108
usage_api,events_staging_20170109
usage_api,events_staging_20170110
usage_api,events_staging_20170111
usage_api,events_staging_20170113
usage_api,events_staging_20170115
usage_api,events_staging_20170116
usage_api,events_staging_20170119
usage_api,events_staging_20170121
usage_api,events_staging_20170128
usage_api,events_staging_20170216
usage_api,events_staging_20170218
usage_api,events_test_20170104
validation,adjust_benchmark
validation,appboy_benchmark
validation,avg_retention_categories_20171004
validation,avg_retention_categories_20171005
validation,avg_retention_categories_20171006
validation,avg_retention_categories_20171008
validation,avg_retention_categories_20171009
validation,avg_retention_categories_20171015
validation,avg_retention_categories_20171017
validation,avg_retention_categories_20171027
validation,avg_retention_categories_20171101
validation,avg_retention_categories_20180719
validation,avg_retention_categories_20180720
validation,avg_retention_categories_20180722
validation,benchmark_adjust_20180727
validation,benchmark_appboy_20180727
validation,customer_feedback
validation,daumau_estimates_validation
validation,daumau_estimates_validation20171127
validation,daumau_estimates_validation20171128
validation,itunes_partners_20171006
validation,itunes_partners_20171008
validation,itunes_partners_20171009
validation,itunes_partners_20171015
validation,mape_20171004
validation,mape_20171005
validation,mape_20171006
validation,mape_20171008
validation,mape_20171009
validation,mape_20171015
validation,mape_20171017
validation,mape_20171027
validation,mape_20171101
validation,mape_20171127
validation,mape_mau_dau_20180718
validation,mappd_retention_20180718
validation,mappd_retention_bycountry_20180718
validation,mappd_retention_bycountry_20180719
validation,mappd_retention_bycountry_20180720
validation,mappd_retention_bycountry_20180722
validation,mappd_retention_byvertical_20180719
validation,mappd_retention_byvertical_20180720
validation,mappd_retention_byvertical_20180722
validation,master_kpi_table20181126
validation,master_kpi_table20181127
validation,master_kpi_table20181129
validation,master_kpi_table20181130
validation,master_kpi_table20181203
validation,master_kpi_table20181205
validation,master_kpi_table20181207
validation,master_kpi_table20181208
validation,master_kpi_table20181209
validation,master_kpi_table20181210
validation,master_kpi_table20181218
validation,master_kpi_table20190101
validation,master_kpi_table20190105
validation,master_kpi_table20190107
validation,master_kpi_table20190108
