dataset_id,table_id
newzoo,app_ids
newzoo,app_ids_backup22102019
newzoo,newzoo_daily_estimates20191028
newzoo,newzoo_daily_estimates20191030
newzoo,newzoo_daily_estimates20191104
newzoo,newzoo_daily_estimates20191111
newzoo,newzoo_daily_estimates20191118
newzoo,newzoo_daily_estimates20191125
newzoo,newzoo_daily_estimates20191202
newzoo,newzoo_daily_estimates20191209
newzoo,newzoo_daily_estimates20191216
newzoo,newzoo_daily_estimates20191223
newzoo,newzoo_daily_estimates20191230
newzoo,newzoo_daily_estimates20200106
newzoo,newzoo_daily_estimates20200113
newzoo,newzoo_daily_estimates20200120
newzoo,newzoo_daily_estimates20200127
newzoo,newzoo_daily_estimates20200203
newzoo,newzoo_daily_estimates20200210
newzoo,newzoo_daily_estimates20200217
newzoo,newzoo_daily_estimates20200224
newzoo,newzoo_daily_estimates20200302
newzoo,newzoo_daily_estimates20200309
newzoo,newzoo_daily_estimates20200316
newzoo,newzoo_daily_estimates20200323
newzoo,newzoo_daily_estimates20200330
newzoo,newzoo_daily_estimates20200406
newzoo,newzoo_daily_estimates20200413
newzoo,newzoo_daily_estimates20200416
newzoo,newzoo_daily_estimates20200420
newzoo,newzoo_daily_estimates20200427
newzoo,newzoo_daily_estimates20200504
newzoo,newzoo_daily_estimates20200511
newzoo,newzoo_daily_estimates20200518
newzoo,newzoo_daily_estimates20200525
newzoo,newzoo_daily_estimates20200601
newzoo,newzoo_daily_estimates20200608
newzoo,newzoo_daily_estimates20200610
newzoo,newzoo_daily_estimates20200615
newzoo,newzoo_daily_estimates20200622
newzoo,newzoo_daily_estimates20200629
newzoo,newzoo_daily_estimates20200706
newzoo,newzoo_daily_estimates20200713
newzoo,newzoo_daily_estimates20200720
newzoo,newzoo_daily_estimates20200727
newzoo,newzoo_daily_estimates20200803
newzoo,newzoo_daily_estimates20200810
newzoo,newzoo_daily_estimates20200817
newzoo,newzoo_daily_estimates20200824
newzoo,newzoo_daily_estimates20200831
newzoo,newzoo_daily_estimates20200907
newzoo,newzoo_daily_estimates20200914
newzoo,newzoo_daily_estimates20200921
newzoo,newzoo_daily_estimates20200928
newzoo,newzoo_daily_estimates20201005
newzoo,newzoo_daily_estimates20201012
newzoo,newzoo_daily_estimates20201019
newzoo,newzoo_daily_estimates20201026
newzoo,newzoo_daily_estimates20201102
newzoo,newzoo_daily_estimates20201109
newzoo,newzoo_daily_estimates20201116
newzoo,newzoo_daily_estimates20201123
newzoo,newzoo_daily_estimatesDEV20200615
newzoo,newzoo_download_rankings_20160711
newzoo,newzoo_download_rankings_20160810
newzoo,newzoo_download_rankings_20160910
newzoo,newzoo_download_rankings_20161010
newzoo,newzoo_download_rankings_20161210
newzoo,newzoo_download_rankings_20170110
newzoo,newzoo_download_rankings_20170210
newzoo,newzoo_download_rankings_20170310
newzoo,newzoo_download_rankings_20170410
newzoo,newzoo_download_rankings_20170510
newzoo,newzoo_download_rankings_20170610
newzoo,newzoo_download_rankings_20170710
newzoo,newzoo_download_rankings_20170810
newzoo,newzoo_download_rankings_20170910
newzoo,newzoo_download_rankings_20171010
newzoo,newzoo_download_rankings_20171110
newzoo,newzoo_download_rankings_20171210
newzoo,newzoo_download_rankings_20180110
newzoo,newzoo_download_rankings_20180210
newzoo,newzoo_download_rankings_20180310
newzoo,newzoo_download_rankings_20180410
newzoo,newzoo_download_rankings_20180510
newzoo,newzoo_download_rankings_20180610
newzoo,newzoo_download_rankings_20180710
newzoo,newzoo_download_rankings_20180810
newzoo,newzoo_download_rankings_20180910
newzoo,newzoo_download_rankings_20181010
newzoo,newzoo_download_rankings_20181110
newzoo,newzoo_download_rankings_20181210
newzoo,newzoo_download_rankings_20190110
newzoo,newzoo_download_rankings_20190210
newzoo,newzoo_download_rankings_20190310
newzoo,newzoo_download_rankings_20190410
newzoo,newzoo_download_rankings_20190510
newzoo,newzoo_download_rankings_20190610
newzoo,newzoo_download_rankings_20190710
newzoo,newzoo_download_rankings_20190810
newzoo,newzoo_download_rankings_20190910
newzoo,newzoo_download_rankings_20191010
newzoo,newzoo_download_rankings_20191110
newzoo,newzoo_download_rankings_20191210
newzoo,newzoo_download_rankings_20200110
newzoo,newzoo_download_rankings_20200210
newzoo,newzoo_download_rankings_20200310
newzoo,newzoo_download_rankings_20200410
newzoo,newzoo_download_rankings_20200410_backup
newzoo,newzoo_download_rankings_20200416
newzoo,newzoo_download_rankings_20200510
newzoo,newzoo_download_rankings_20200610
newzoo,newzoo_download_rankings_20200710
newzoo,newzoo_download_rankings_20200810
newzoo,newzoo_download_rankings_20200910
newzoo,newzoo_download_rankings_20201010
newzoo,newzoo_publishers_20200911
newzoo,newzoo_revenue_202009_gp
newzoo,newzoo_revenue_202009_ios
newzoo,report_publishers_20200911
