dataset_id,table_id
popularity_score,normalized_estimates_20170411
popularity_score,normalized_estimates_20170412
popularity_score,pred_set_wo_topics_20161207
popularity_score,pred_set_wo_topics_20161208
popularity_score,pred_set_wo_topics_20161209
popularity_score,pred_set_wo_topics_20161210
popularity_score,pred_set_wo_topics_20161211
popularity_score,pred_set_wo_topics_20161212
popularity_score,pred_set_wo_topics_20161213
popularity_score,pred_set_wo_topics_20161214
popularity_score,pred_set_wo_topics_20161215
popularity_score,pred_set_wo_topics_20161216
popularity_score,pred_set_wo_topics_20161217
popularity_score,pred_set_wo_topics_20161218
popularity_score,pred_set_wo_topics_20161219
popularity_score,pred_set_wo_topics_20161220
popularity_score,pred_set_wo_topics_20161221
popularity_score,pred_set_wo_topics_20161222
popularity_score,pred_set_wo_topics_20161223
popularity_score,pred_set_wo_topics_20161224
popularity_score,pred_set_wo_topics_20161225
popularity_score,pred_set_wo_topics_20161226
popularity_score,pred_set_wo_topics_20161227
popularity_score,pred_set_wo_topics_20161228
popularity_score,pred_set_wo_topics_20161229
popularity_score,pred_set_wo_topics_20161230
popularity_score,pred_set_wo_topics_20161231
popularity_score,pred_set_wo_topics_20170101
popularity_score,pred_set_wo_topics_20170102
popularity_score,pred_set_wo_topics_20170103
popularity_score,pred_set_wo_topics_20170104
popularity_score,pred_set_wo_topics_20170105
popularity_score,pred_set_wo_topics_20170106
popularity_score,pred_set_wo_topics_20170107
popularity_score,pred_set_wo_topics_20170108
popularity_score,pred_set_wo_topics_20170109
popularity_score,pred_set_wo_topics_20170110
popularity_score,pred_set_wo_topics_20170111
popularity_score,pred_set_wo_topics_20170112
popularity_score,pred_set_wo_topics_20170113
popularity_score,pred_set_wo_topics_20170114
popularity_score,pred_set_wo_topics_20170115
popularity_score,pred_set_wo_topics_20170116
popularity_score,pred_set_wo_topics_20170117
popularity_score,pred_set_wo_topics_20170118
popularity_score,pred_set_wo_topics_20170119
popularity_score,pred_set_wo_topics_20170120
popularity_score,pred_set_wo_topics_20170121
popularity_score,pred_set_wo_topics_20170122
popularity_score,pred_set_wo_topics_20170123
popularity_score,pred_set_wo_topics_20170124
popularity_score,pred_set_wo_topics_20170125
popularity_score,pred_set_wo_topics_20170126
popularity_score,pred_set_wo_topics_20170127
popularity_score,pred_set_wo_topics_20170128
popularity_score,pred_set_wo_topics_20170129
popularity_score,pred_set_wo_topics_20170130
popularity_score,pred_set_wo_topics_20170131
popularity_score,pred_set_wo_topics_20170201
popularity_score,pred_set_wo_topics_20170202
popularity_score,pred_set_wo_topics_20170203
popularity_score,pred_set_wo_topics_20170204
popularity_score,pred_set_wo_topics_20170205
popularity_score,pred_set_wo_topics_20170206
popularity_score,pred_set_wo_topics_20170207
popularity_score,pred_set_wo_topics_20170208
popularity_score,pred_set_wo_topics_20170209
popularity_score,pred_set_wo_topics_20170210
popularity_score,pred_set_wo_topics_20170211
popularity_score,pred_set_wo_topics_20170212
popularity_score,pred_set_wo_topics_20170213
popularity_score,pred_set_wo_topics_20170214
popularity_score,pred_set_wo_topics_20170215
popularity_score,pred_set_wo_topics_20170216
popularity_score,pred_set_wo_topics_20170217
popularity_score,pred_set_wo_topics_20170218
popularity_score,pred_set_wo_topics_20170219
popularity_score,pred_set_wo_topics_20170220
popularity_score,pred_set_wo_topics_20170221
popularity_score,pred_set_wo_topics_20170222
popularity_score,pred_set_wo_topics_20170223
popularity_score,pred_set_wo_topics_20170228
popularity_score,pred_set_wo_topics_20170301
popularity_score,pred_set_wo_topics_20170303
popularity_score,pred_set_wo_topics_20170306
popularity_score,pred_set_wo_topics_20170307
popularity_score,pred_set_wo_topics_20170308
popularity_score,pred_set_wo_topics_20170310
popularity_score,pred_set_wo_topics_20170311
popularity_score,pred_set_wo_topics_20170312
popularity_score,pred_set_wo_topics_20170313
popularity_score,pred_set_wo_topics_20170314
popularity_score,pred_set_wo_topics_20170316
popularity_score,pred_set_wo_topics_20170319
popularity_score,priority_scores
popularity_score,raw_estimates_20161207
popularity_score,raw_estimates_20161208
popularity_score,raw_estimates_20161209
popularity_score,raw_estimates_20161210
popularity_score,raw_estimates_20161211
popularity_score,raw_estimates_20161212
popularity_score,raw_estimates_20161213
popularity_score,raw_estimates_20161214
popularity_score,raw_estimates_20161215
popularity_score,raw_estimates_20161216
popularity_score,raw_estimates_20161217
popularity_score,raw_estimates_20161218
popularity_score,raw_estimates_20161219
popularity_score,raw_estimates_20161220
popularity_score,raw_estimates_20161221
popularity_score,raw_estimates_20161222
popularity_score,raw_estimates_20161223
popularity_score,raw_estimates_20161224
popularity_score,raw_estimates_20161225
popularity_score,raw_estimates_20161226
popularity_score,raw_estimates_20161227
popularity_score,raw_estimates_20161228
popularity_score,raw_estimates_20161229
popularity_score,raw_estimates_20161230
popularity_score,raw_estimates_20161231
popularity_score,raw_estimates_20170101
popularity_score,raw_estimates_20170102
popularity_score,raw_estimates_20170103
popularity_score,raw_estimates_20170104
popularity_score,raw_estimates_20170105
popularity_score,raw_estimates_20170106
popularity_score,raw_estimates_20170107
popularity_score,raw_estimates_20170108
popularity_score,raw_estimates_20170109
popularity_score,raw_estimates_20170110
popularity_score,raw_estimates_20170111
popularity_score,raw_estimates_20170112
popularity_score,raw_estimates_20170113
popularity_score,raw_estimates_20170114
popularity_score,raw_estimates_20170115
popularity_score,raw_estimates_20170116
popularity_score,raw_estimates_20170117
popularity_score,raw_estimates_20170118
popularity_score,raw_estimates_20170119
popularity_score,raw_estimates_20170120
popularity_score,raw_estimates_20170121
popularity_score,raw_estimates_20170122
popularity_score,raw_estimates_20170123
popularity_score,raw_estimates_20170124
popularity_score,raw_estimates_20170125
popularity_score,raw_estimates_20170126
popularity_score,raw_estimates_20170127
popularity_score,raw_estimates_20170128
popularity_score,raw_estimates_20170129
popularity_score,raw_estimates_20170130
popularity_score,raw_estimates_20170131
popularity_score,raw_estimates_20170201
popularity_score,raw_estimates_20170202
popularity_score,raw_estimates_20170203
popularity_score,raw_estimates_20170204
popularity_score,raw_estimates_20170205
popularity_score,raw_estimates_20170206
popularity_score,raw_estimates_20170207
popularity_score,raw_estimates_20170208
popularity_score,raw_estimates_20170209
popularity_score,raw_estimates_20170210
popularity_score,raw_estimates_20170211
popularity_score,raw_estimates_20170212
popularity_score,raw_estimates_20170213
popularity_score,raw_estimates_20170214
popularity_score,raw_estimates_20170215
popularity_score,raw_estimates_20170216
popularity_score,raw_estimates_20170217
popularity_score,raw_estimates_20170218
popularity_score,raw_estimates_20170219
popularity_score,raw_estimates_20170220
popularity_score,raw_estimates_20170221
popularity_score,raw_estimates_20170222
popularity_score,raw_estimates_20170223
popularity_score,raw_estimates_20170228
popularity_score,raw_estimates_20170301
popularity_score,raw_estimates_20170303
popularity_score,raw_estimates_20170306
popularity_score,raw_estimates_20170307
popularity_score,raw_estimates_20170308
popularity_score,raw_estimates_20170310
popularity_score,raw_estimates_20170311
popularity_score,raw_estimates_20170312
popularity_score,raw_estimates_20170313
popularity_score,raw_estimates_20170314
popularity_score,raw_estimates_20170316
popularity_score,raw_estimates_20170318
popularity_score,raw_estimates_20170319
popularity_score,raw_estimates_20170320
popularity_score,raw_estimates_20170321
popularity_score,raw_estimates_20170323
popularity_score,raw_estimates_20170324
popularity_score,raw_estimates_20170327
popularity_score,raw_estimates_20170328
popularity_score,raw_estimates_20170330
popularity_score,raw_estimates_20170401
popularity_score,raw_estimates_20170402
popularity_score,raw_estimates_20170403
popularity_score,raw_estimates_20170404
popularity_score,raw_estimates_20170405
popularity_score,raw_estimates_20170406
popularity_score,raw_estimates_20170407
popularity_score,raw_estimates_20170408
popularity_score,raw_estimates_20170409
popularity_score,raw_estimates_20170410
popularity_score,raw_estimates_20170411
popularity_score,raw_estimates_20170412
popularity_score,raw_estimates_test20170328
popularity_score,raw_estimates_test20170329
popularity_score,raw_estimates_test20170330
popularity_score,topic_effects_20161207
popularity_score,topic_effects_20161208
popularity_score,topic_effects_20161209
popularity_score,topic_effects_20161210
popularity_score,topic_effects_20161211
popularity_score,topic_effects_20161212
popularity_score,topic_effects_20161213
popularity_score,topic_effects_20161214
popularity_score,topic_effects_20161215
popularity_score,topic_effects_20161216
popularity_score,topic_effects_20161217
popularity_score,topic_effects_20161218
popularity_score,topic_effects_20161219
popularity_score,topic_effects_20161220
popularity_score,topic_effects_20161221
popularity_score,topic_effects_20161222
popularity_score,topic_effects_20161223
popularity_score,topic_effects_20161224
popularity_score,topic_effects_20161225
popularity_score,topic_effects_20161226
popularity_score,topic_effects_20161227
popularity_score,topic_effects_20161228
popularity_score,topic_effects_20161229
popularity_score,topic_effects_20161230
popularity_score,topic_effects_20161231
popularity_score,topic_effects_20170101
popularity_score,topic_effects_20170102
popularity_score,topic_effects_20170103
