dataset_id,table_id
training,active_devices_training_gp
training,active_devices_training_ios
training,artifobs_babycenter
training,artifobs_babycenter_org
training,artifobs_babycenter_v2
training,artifobs_babycenter_w02
training,artifobs_final
training,artifobs_initial
training,artifobs_proxies
training,avg_device_split_by_app
training,backup_artifobs_proxies
training,country_codes_gp
training,country_codes_ios
training,dau_training_ios20161225
training,dau_training_ios20161226
training,dau_training_ios20161227
training,dau_training_ios20161228
training,dau_training_ios20161229
training,dau_training_ios20161230
training,dau_training_ios20161231
training,dau_training_ios20170101
training,dau_training_ios20170102
training,dau_training_ios20170103
training,dau_training_ios20170104
training,dau_training_ios20170105
training,dau_training_ios20170106
training,dau_training_ios20170107
training,dau_training_ios20170108
training,dau_training_ios20170109
training,dau_training_ios20170110
training,dau_training_ios20170111
training,dau_training_ios20170112
training,dau_training_ios20170113
training,dau_training_ios20170114
training,dau_training_ios20170115
training,dau_training_ios20170116
training,dau_training_ios20170117
training,dau_training_ios20170118
training,dau_training_ios20170119
training,dau_training_ios20170120
training,dau_training_ios20170121
training,dau_training_ios20170122
training,dau_training_ios20170123
training,dau_training_ios20170124
training,dau_training_ios20170125
training,dau_training_ios20170126
training,dau_training_ios20170127
training,dau_training_ios20170128
training,dau_training_ios20170129
training,dau_training_ios20170130
training,dau_training_ios20170131
training,dau_training_ios20170201
training,dau_training_ios20170202
training,dau_training_ios20170203
training,dau_training_ios20170204
training,dau_training_ios20170205
training,dau_training_ios20170206
training,dau_training_ios20170207
training,dau_training_ios20170208
training,dau_training_ios20170209
training,dau_training_ios20170210
training,dau_training_ios20170211
training,dau_training_ios20170212
training,dau_training_ios20170213
training,dau_training_ios20170214
training,dau_training_ios20170215
training,dau_training_ios20170216
training,dau_training_ios20170217
training,dau_training_ios20170218
training,dau_training_ios20170219
training,dau_training_ios20170220
training,dau_training_ios20170221
training,dau_training_ios20170222
training,dau_training_ios20170223
training,dau_training_ios20170224
training,dau_training_ios20170225
training,dau_training_ios20170226
training,dau_training_ios20170227
training,dau_training_ios20170228
training,dau_training_ios20170301
training,dau_training_ios20170302
training,dau_training_ios20170303
training,dau_training_ios20170304
training,dau_training_ios20170305
training,dau_training_ios20170306
training,dau_training_ios20170307
training,dau_training_ios20170308
training,dau_training_ios20170309
training,dau_training_ios20170310
training,dau_training_ios20170311
training,dau_training_ios20170312
training,dau_training_ios20170313
training,dau_training_ios20170314
training,dau_training_ios20170315
training,dau_training_ios20170316
training,dau_training_ios20170317
training,dau_training_ios20170318
training,dau_training_ios20170319
training,dau_training_ios20170320
training,dau_training_ios20170321
training,dau_training_ios20170322
training,dau_training_ios20170323
training,dau_training_ios20170324
training,dau_training_ios20170325
training,dau_training_ios20170326
training,dau_training_ios20170327
training,dau_training_ios20170328
training,dau_training_ios20170329
training,dau_training_ios20170330
training,dau_training_ios20170331
training,dau_training_ios20170401
training,dau_training_ios20170402
training,dau_training_ios20170403
training,dau_training_ios20170404
training,dau_training_ios20170405
training,dau_training_ios20170406
training,dau_training_ios20170407
training,dau_training_ios20170408
training,dau_training_ios20170409
training,dau_training_ios20170410
