dataset_id,table_id
usage,blacklist_app
usage,chandan_slope_predictions20170101
usage,chandan_slope_predictions20170102
usage,chandan_slope_predictions20170103
usage,chandan_slope_predictions20170104
usage,chandan_slope_predictions20170105
usage,chandan_slope_predictions20170106
usage,chandan_slope_predictions20170107
usage,chandan_slope_predictions20170108
usage,chandan_slope_predictions20170109
usage,chandan_slope_predictions20170110
usage,chandan_slope_predictions20170111
usage,chandan_slope_predictions20170112
usage,chandan_slope_predictions20170113
usage,chandan_slope_predictions20170114
usage,chandan_slope_predictions20170115
usage,chandan_slope_predictions20170116
usage,chandan_slope_predictions20170117
usage,chandan_slope_predictions20170118
usage,chandan_slope_predictions20170119
usage,chandan_slope_predictions20170120
usage,chandan_slope_predictions20170121
usage,chandan_slope_predictions20170122
usage,chandan_slope_predictions20170123
usage,chandan_slope_predictions20170124
usage,chandan_slope_predictions20170125
usage,chandan_slope_predictions20170126
usage,chandan_slope_predictions20170127
usage,chandan_slope_predictions20170128
usage,chandan_slope_predictions20170129
usage,chandan_slope_predictions20170130
usage,chandan_slope_predictions20170131
usage,chandan_slope_predictions20170201
usage,chandan_slope_predictions20170202
usage,chandan_slope_predictions20170203
usage,chandan_slope_predictions20170204
usage,chandan_slope_predictions20170205
usage,chandan_slope_predictions20170206
usage,chandan_slope_predictions20170207
usage,chandan_slope_predictions20170208
usage,chandan_slope_predictions20170209
usage,chandan_slope_predictions20170210
usage,chandan_slope_predictions20170211
usage,chandan_slope_predictions20170212
usage,chandan_slope_predictions20170213
usage,chandan_slope_predictions20170214
usage,chandan_slope_predictions20170215
usage,chandan_slope_predictions20170216
usage,chandan_slope_predictions20170217
usage,chandan_slope_predictions20170218
usage,chandan_slope_predictions20170219
usage,chandan_slope_predictions20170220
usage,chandan_slope_predictions20170221
usage,chandan_slope_predictions20170222
usage,chandan_slope_predictions20170223
usage,chandan_slope_predictions20170224
usage,chandan_slope_predictions20170225
usage,chandan_slope_predictions20170226
usage,chandan_slope_predictions20170227
usage,chandan_slope_predictions20170228
usage,chandan_slope_predictions20170301
usage,chandan_slope_predictions20170302
usage,chandan_slope_predictions20170303
usage,chandan_slope_predictions20170304
usage,chandan_slope_predictions20170305
usage,chandan_slope_predictions20170306
usage,chandan_slope_predictions20170307
usage,chandan_slope_predictions20170308
usage,chandan_slope_predictions20170309
usage,chandan_slope_predictions20170310
usage,chandan_slope_predictions20170311
usage,chandan_slope_predictions20170312
usage,chandan_slope_predictions20170313
usage,chandan_slope_predictions20170314
usage,chandan_slope_predictions20170315
usage,chandan_slope_predictions20170316
usage,chandan_slope_predictions20170317
usage,chandan_slope_predictions20170318
usage,chandan_slope_predictions20170319
usage,chandan_slope_predictions20170320
usage,chandan_slope_predictions20170321
usage,chandan_slope_predictions20170322
usage,chandan_slope_predictions20170323
usage,chandan_slope_predictions20170324
usage,chandan_slope_predictions20170325
usage,chandan_slope_predictions20170326
usage,chandan_slope_predictions20170327
usage,chandan_slope_predictions20170328
usage,chandan_slope_predictions20170329
usage,chandan_slope_predictions20170330
usage,chandan_slope_predictions20170331
usage,chandan_slope_predictions20170401
usage,chandan_slope_predictions20170402
usage,chandan_slope_predictions20170403
usage,chandan_slope_predictions20170404
usage,chandan_slope_predictions20170405
usage,chandan_slope_predictions20170406
usage,chandan_slope_predictions20170407
usage,chandan_slope_predictions20170408
usage,chandan_slope_predictions20170409
usage,chandan_slope_predictions20170410
usage,chandan_slope_predictions20170411
usage,chandan_slope_predictions20170412
usage,chandan_slope_predictions20170413
usage,chandan_slope_predictions20170414
usage,chandan_slope_predictions20170415
usage,chandan_slope_predictions20170416
usage,chandan_slope_predictions20170417
usage,chandan_slope_predictions20170418
usage,chandan_slope_predictions20170419
usage,chandan_slope_predictions20170420
usage,chandan_slope_predictions20170421
usage,chandan_slope_predictions20170422
usage,chandan_slope_predictions20170423
usage,chandan_slope_predictions20170424
usage,chandan_slope_predictions20170425
usage,chandan_slope_predictions20170426
usage,chandan_slope_predictions20170427
usage,chandan_slope_predictions20170428
usage,chandan_slope_predictions20170429
usage,chandan_slope_predictions20170430
usage,chandan_slope_predictions20170501
usage,chandan_slope_predictions20170502
usage,chandan_slope_predictions20170503
usage,chandan_slope_predictions20170504
usage,chandan_slope_predictions20170505
usage,chandan_slope_predictions20170506
usage,chandan_slope_predictions20170507
usage,chandan_slope_predictions20170508
usage,chandan_slope_predictions20170509
usage,chandan_slope_predictions20170510
usage,chandan_slope_predictions20170511
usage,chandan_slope_predictions20170512
usage,chandan_slope_predictions20170513
usage,chandan_slope_predictions20170514
usage,chandan_slope_predictions20170515
usage,chandan_slope_predictions20170516
usage,chandan_slope_predictions20170517
usage,chandan_slope_predictions20170518
usage,chandan_slope_predictions20170519
usage,chandan_slope_predictions20170520
usage,chandan_slope_predictions20170521
usage,chandan_slope_predictions20170522
usage,chandan_slope_predictions20170523
usage,chandan_slope_predictions20170524
usage,chandan_slope_predictions20170525
usage,chandan_slope_predictions20170526
usage,chandan_slope_predictions20170527
usage,chandan_slope_predictions20170528
usage,chandan_slope_predictions20170529
usage,chandan_slope_predictions20170530
usage,chandan_slope_predictions20170531
usage,chandan_slope_predictions20170601
usage,chandan_slope_predictions20170602
usage,chandan_slope_predictions20170603
usage,chandan_slope_predictions20170604
usage,chandan_slope_predictions20170605
usage,chandan_slope_predictions20170606
usage,chandan_slope_predictions20170607
usage,chandan_slope_predictions20170608
usage,chandan_slope_predictions20170609
usage,chandan_slope_predictions20170610
usage,chandan_slope_predictions20170611
usage,chandan_slope_predictions20170612
usage,chandan_slope_predictions20170613
usage,chandan_slope_predictions20170614
usage,chandan_slope_predictions20170615
usage,chandan_slope_predictions20170616
usage,chandan_slope_predictions20170617
usage,chandan_slope_predictions20170618
usage,chandan_slope_predictions20170619
usage,chandan_slope_predictions20170620
usage,chandan_slope_predictions20170621
usage,chandan_slope_predictions20170622
usage,chandan_slope_predictions20170623
usage,chandan_slope_predictions20170624
usage,chandan_slope_predictions20170625
usage,chandan_slope_predictions20170626
usage,chandan_slope_predictions20170627
usage,chandan_slope_predictions20170628
usage,chandan_slope_predictions20170629
usage,chandan_slope_predictions20170630
usage,chandan_slope_predictions20170701
usage,chandan_slope_predictions20170702
usage,chandan_slope_predictions20170703
usage,chandan_slope_predictions20170704
usage,chandan_slope_predictions20170705
usage,chandan_slope_predictions20170706
usage,chandan_slope_predictions20170707
usage,chandan_slope_predictions20170708
usage,chandan_slope_predictions20170709
usage,chandan_slope_predictions20170710
usage,chandan_slope_predictions20170711
usage,chandan_slope_predictions20170712
usage,chandan_slope_predictions20170713
usage,chandan_slope_predictions20170714
usage,chandan_slope_predictions20170715
usage,chandan_slope_predictions20170716
usage,chandan_slope_predictions20170717
usage,chandan_slope_predictions20170718
usage,chandan_slope_predictions20170719
usage,chandan_slope_predictions20170720
